Name with Owner,Created Timestamp,Updated Timestamp,Stars Count,Language,Rating
h5bp/Front-end-Developer-Interview-Questions,2012-02-09 23:34:10 UTC,2018-12-21 15:03:21 UTC,38465,HTML,4.62
spring-projects/spring-boot,2012-10-19 15:02:57 UTC,2018-12-21 08:07:37 UTC,32320,Java,4.63
sindresorhus/awesome,2014-07-11 13:42:37 UTC,2018-12-05 07:01:50 UTC,97480,,4.64
laravel/laravel,2011-06-08 03:06:08 UTC,2018-12-21 03:46:41 UTC,47986,PHP,4.64
jquery/jquery,2009-04-03 15:20:14 UTC,2018-12-22 17:28:51 UTC,50614,JavaScript,4.65
daneden/animate.css,2011-10-12 10:07:38 UTC,2018-12-06 14:55:19 UTC,55946,CSS,4.65
github/gitignore,2010-11-08 20:17:14 UTC,2018-12-21 20:44:02 UTC,76692,,4.66
avelino/awesome-go,2014-07-06 13:42:15 UTC,2018-12-18 23:14:12 UTC,38160,Go,4.68
facebook/react-native,2015-01-09 18:10:16 UTC,2018-12-21 02:49:01 UTC,72092,JavaScript,4.68
ReactiveX/RxJava,2013-01-08 20:11:48 UTC,2018-12-08 11:53:50 UTC,36670,Java,4.7
angular/angular.js,2010-01-06 00:34:37 UTC,2018-12-21 15:19:10 UTC,59308,JavaScript,4.74
torvalds/linux,2011-09-04 22:48:12 UTC,2018-12-23 00:57:41 UTC,67199,C,4.78
d3/d3,2010-09-27 17:22:42 UTC,2018-12-21 22:52:02 UTC,81160,JavaScript,4.8
h5bp/html5-boilerplate,2010-01-24 18:03:24 UTC,2018-12-21 15:05:24 UTC,41848,JavaScript,4.8
airbnb/javascript,2012-11-01 23:13:50 UTC,2018-12-07 15:00:59 UTC,79342,JavaScript,4.81
Homebrew/legacy-homebrew,2009-05-20 19:38:37 UTC,2018-04-23 19:59:16 UTC,28560,Ruby,4.9
facebook/react,2013-05-24 16:15:54 UTC,2018-12-22 18:53:09 UTC,118169,JavaScript,4.91
twbs/bootstrap,2011-07-29 21:19:00 UTC,2018-12-21 22:39:22 UTC,129519,CSS,5.0
